review,aspect,aspect_encoded
Ibiza filming location looks very enchanting,Cinematography,0
"RANDOLPH SCOTT always played men you could look up to for their sense of honor, courage, level-headedness and willingness to do the right thing.', 'ROBERT RYAN co-stars in this film, playing a good guy for a change.",Characters,1
"interesting and promising basic idea', 'some plot holes', 'they offer to us a lesson about morality', ""the 'detective scenes' show us the luck of creativity""",Story,2
"the film could explore very powerful politics,the odd couple drive thru the former Yugoslavia, thru Turkey and then thru the Middle East to get to Mecca,the relationship between the two is key to this film, and faith, politics are the backdrop",Story,2
"The animation is nice, and the use of color makes it more open to do the smooth transitions and other surreal imagery.",Cinematography,0
excellent script,Story,2
"""the animation is by Studio 4°C who work on quite a few of the Animatrix and it's evocative and visually stimulating, rendering different scenes like imagery montages, CCTV footage and particular scenes of import distinctive and overall presenting the story perfectly""",Cinematography,0
"The film did what it set out to do: show how a young girl copes with poverty and grows into her maturity.', 'However, for most of us, this subject has been explored adequately and in most instances with more sophistication than done here.",Story,2
"""enjoyed the Red Sox fans that were part of Ben's baseball family"", 'Ben is meeting with his buddies on draft day",Characters,1
"Timon and Pumbaa', 'they have a very fair compromise",Characters,1
"puts the viewer through a clip of time where they experience a world without language', ""you don't really watch this movie as much as you witness an awful series of events ],""",Story,2
the shots are very well-composed and visually stylish,Cinematography,0
"unattached, almost documentary camera",Cinematography,0
"""It's a 'screwy' comedy I have enjoyed many times over the years."", ""Robert Montgomery's mission places him in some very improbable situations.""",Story,2
"Widdoes is a very mannered Beatrice giving a particularly poor performance.', 'Waterston, a fine actor, is not much better as Benedict.', 'The poorest performance is in the role of Don John - it makes Keanu Reeves look good.', 'successful set-ups include the scene where they fool Benedict into believing Beatrice loves him - were the acting competent it would be superb. ],",Characters,1
"The scripts are fantastic, with each episode offering so much entertainment, drama, humour and sheer watchability.', ""The episode that really does it for me is 'I, ET' which turns the alien concept around.""",Story,2
"There, he meets the other boys of the camp (Zero, Magnet, Armpit, Squid, x-Ray, and ZigZag).', ""All of them are digging, not to 'build charactor', but to find outlaw Kate Barlow's treasure.""",Characters,1
"""the film really doesn't managed to satirize anything about the 1950s."", 'The dialogue, sets and behavior of the key characters are nondescript rather than dead-on stereotypes of the 1950s Hollywood.', 'Motivations, too, seem haphazard.', 'Plot holes in this ragtag film also abound.",Story,2
"A lot of stock footage', ""giant robot octopus that actually didn't look that bad""",Cinematography,0
less than mediocre photography,Cinematography,0
"Cobb is portrayed as a constant liar in the film, so which one of his stories is supposed to be accurate? ],",Characters,1
"I thought that it will be a good film after 8mm.', 'There were nothing interesting in it.', 'Everything might be known forward.",Story,2
"""Holliday does yet one more variation on the dumb blonde who's maybe not so dumb after all"", ""Even Jack Lemmon, in what I believe was his first film role, can't muster up enough energy to enliven this recycled comedy""",Characters,1
"“this film would be a shining example of that lesson!”, “this cinematic swill demonstrates what happens when cerebrally challenged filmmakers are given a ‘budget’”],",Cinematography,0
"""the movie was a little 'too polished' and 'Hollywood-esque'"", 'the original version just seemed a lot grittier and seedier--and this added to the scary ambiance",Cinematography,0
"""Nick Nolte who seems to be getting better roles as he gets older, still has that 'everyman' persona that allows him to take on a wide range of different characters."", 'Sheryl Lee is beautiful and great as always.",Characters,1
"heavy stylized to a fault', 'Too many warping effects', 'unnecessary zooms', 'a plethora of other cheap effects",Cinematography,0
"""It takes a considerable effort for four screenwriters to produce a movie (the word 'comedy' infers a work with mirth aforethought) as witless, anaemic and boring as this.""",Story,2
"Pierce Brosnan plays the gentle Patrick.', 'He romances a woman, who has a bog-standard mop-top mid-90s kid called Eric.', ""The husband's entry and assault on Pierce.""",Characters,1
impressive shots of the titular aircraft in its former glory,Cinematography,0
"far more interesting, quirky, original, and intelligent",Story,2
"The movie does not only have a great story, it also is a good looking one.', ""The movie uses some early and effective effects and uses some different color filters to create the right mood and to indicate what it past, present and 'future'.""",Cinematography,0
"The film attempts to tell the story of a dark future, one in which Hawk (a Mad Max type of character) heads off to rescue a damsel in distress.', 'In reality, the plot is a thinly disguised excuse for the producers to promote their own philosophies on life",Story,2
"""It's not even laughably bad, just plain bad."", 'The actors do their best with what is the cheesiest script ever.', 'How scary can a movie be when the climax actually involves a roomful of millions of styrofoam peanuts?",Story,2
great acting,Characters,1
"the power of his camera', ""with that elongated one shot using the child's mask""",Cinematography,0
"""The orcs, for example, I found to be really amazing in they're surreal surroundings."", 'the backgrounds, while also very rough and sometimes too sketchy, are beautiful with the mixtures and blasts of colors together.",Cinematography,0
It was shot to look cheap (or was it just cheap?),Cinematography,0
"""Here's a decidedly average Italian post apocalyptic take on the hunting/killing humans for sport theme"", 'the film reviewed here is nowhere near as much fun as the other listed entries', 'dragged down by poor voice over work', 'prolonged rape sequence and some truly stupid and illogical points throughout', 'the villains response? (bearing in mind that our hero has come to brutally murder them all) \x96 They resolve to wait until the next morning to look for the culprit",Story,2
"""I just can't understand the Minnie Driver character - or at least how she played it."", 'She was completely unbelievable.', 'I cannot believe she would have liked her performance in this movie either.",Characters,1
"This thing here just wears the same name.', 'Just a waste of time thinks",Story,2
"First, the only redeeming value of the entire film was Billy Zane', ""Zane's performance falters about 2/ 3rds of the way through"", ""Sean Carrigan, the 'man of the hour' of 'The Next Action Star' shows all of the strengths and weaknesses the casting directors mention"", 'we never quite seem to care about whether he lives or dies', 'Carrigan fails to provide a reason for the audience to even like him', 'But Carrigan is a dream compared to the wooden, rigid Corinne Van Ryck de Groot', ""Her character 'performance' can be compared only to the dramatic depths of 'Freddy Got Fingered'""",Characters,1
Like the fatuous academics that populate the movie,Characters,1
"True story', 'The whole show, that, with the publicity and the commercials and all the discussions, built up for months to a fantastic climax, was a publicity stunt to focus attention on the problem of major shortages in organ donors', 'ridiculous ending where this woman pulled it off and has conscience issues because some guy shot himself on air",Story,2
"to use an interweaving of speeches/poems as a way to argue against the Bush doctrine', 'the rise of corporation power, so what?', ""this movie gets a failing score in its persuasive power; it's clearly intended for those who've already formed their opinions""",Story,2
"""children's like an adults?"", 'they like money gold cars... and they are positives?', 'they have lucky... and emotions of course",Characters,1
"The graphics are so horrible than they looked like something out of the early to mid-90s low resolution games ],",Cinematography,0
"chronicles his attempt to make a pair of movies over many many years', 'the touching but potentially exploitative relationship between the two men lies at the heart of the film', ""If this film was fiction, you'd dismiss it as unbelievable; but as it is, it's one of the funniest documentaries you're likely to see""",Story,2
"Typical story of an evil kid going after people.', 'I just think that slashers have lost their touch.",Story,2
"""I'm glad Cher won an Oscar for that movie."", 'Nicholas Cage and Danny Aiello are great, too.",Characters,1
"Rather than ambiguous, it was complex and multi-layered in its meanings.', 'One can see it as anti-war, because of the opening and closing scenes.', 'the folly of pretended grandeur, as how wonderful the cavalry men looked as they prepared for the great charge at Eylau, contrasted with its so horrible and disturbing conclusion.', 'chiefly, I see the film as about a moral man in an immoral society.', 'At the end Chabert chooses retreat from the corrupt post-Napoleonic French world and opts for the simple pleasures provided by Derville.', 'In her case, we can see the film as also feminist, in the position of women at that time.",Story,2
